,cost,ingredients,level,name,quantity,total_time,type,beurre,oignon,oeuf
0,recipe-infos__level__container--level-2,"[""['250g  de farine'"", "" '1 oeuf'"", "" '1/2l  de lait'"", "" ' Sel'"", ' ""400g  d\'asperge""', "" '2fine tranche  de jambon'"", "" '125g  de ricotta'"", "" 'bouquet  de ciboulette']""]",recipe-infos__level__container--level-2,AUMONIÈRES D'ASPERGES,8 personnes,00h30,Entrée,0,,1
1,recipe-infos__level__container--level-1,"[""['1 salade'"", "" '1 pâte feuilletée'"", "" '100g  de roquefort'"", "" '1pot  de crème fraîche épaisse'"", "" '1 brique'"", ' ""1 jaune d\'oeuf""]']",recipe-infos__level__container--level-1,Salade de chèvre chaud sauce roquefort,4 personnes,00h40,Entrée,0,,1
2,recipe-infos__level__container--level-2,"[""['5 pomme de terre'"", "" '2 carotte'"", "" '6 aiguillette de canard'"", "" '2feuille  de brick'"", "" '1 pomme'"", "" '1morceau  de gingembre'"", "" '6tranche fine  de camembert'"", "" ' Poivre'"", "" ' Sel'"", "" ' Beurre'"", ' "" Huile d\'olive""]']",recipe-infos__level__container--level-1,Aiguillettes de canard et son aumônière,2 personnes,1h15,Plat principal,0,,0
3,recipe-infos__level__container--level-2,"[""['8feuille  de brick'"", "" '2 tomate'"", "" '1pot  de tomate'"", "" '3 échalote'"", "" '2 oignon rouge'"", "" '4 fromage'"", "" '2 salade'"", ' "" Huile d\'olive""', "" ' Origan'"", "" ' Sarriette'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Aumônière chêvre et tomates confites,4 personnes,1h10,Entrée,0,Yes,0
4,recipe-infos__level__container--level-3,"[""['3 coquille saint-jacques'"", "" '1/2 carotte'"", "" '1/2 poireau'"", "" '1 feuille de brick'"", "" ' Beurre'"", "" '4 pois gourmand'"", ' ""1 jaune d\'oeuf""', "" '200g  de crème fraîche'"", "" '1 échalote'"", "" '60g  de foie gras'"", "" '20cl  de bouillon de poule'"", "" ' Pistache'"", ' "" Piment d\'Espelette""]']",recipe-infos__level__container--level-3,Variations de Saint-Jacques au foie gras,1 personnes,1h00,Entrée,0,,1
5,recipe-infos__level__container--level-1,"[""['1 avocat'"", "" '2tranche  de truite'"", "" '100g  de fromage frais'"", "" '1/2 citron'"", "" '50g  de fromage ail et fines herbes'"", "" ' Ciboulette'"", ' ""1pot  d\'oeuf de truite""]']",recipe-infos__level__container--level-1,Verrine avocat-truite fumée,4 personnes,00h15,Entrée,0,,1
6,recipe-infos__level__container--level-1,"[""['2 avocat'"", "" '2 pomme de terre'"", "" '2 oeuf'"", "" '1boîte  de thon'"", "" '2 citron']""]",recipe-infos__level__container--level-1,Avocats Fourrés,4 personnes,00h20,Entrée,0,,2
7,recipe-infos__level__container--level-2,"[""['2 avocat'"", "" '1/2 jus de citron'"", "" '10cl  de crème liquide'"", "" '50cl  de bouillon de volaille'"", "" '1pincée  de muscade'"", "" '60g  de parmesan'"", "" '12brin  de ciboulette'"", "" '8feuille  de basilic'"", "" ' Sel'"", "" ' Poivre']""]",recipe-infos__level__container--level-1,Velouté d'avocat,4 personnes,00h25,Entrée,0,,0
8,recipe-infos__level__container--level-1,"[""['4tranche  de pain de mie'"", "" '6tranche  de fromage de chèvre'"", "" '2 avocat'"", "" ' Crème liquide'"", "" ' Fromage râpé']""]",recipe-infos__level__container--level-1,Cassolette d'avocat,4 personnes,00h15,Plat principal,0,,0
9,recipe-infos__level__container--level-2,"[""['125g  de farine'"", "" '1/4cuillère à café  de levure'"", "" '1/4cuillère à café  de sel'"", "" '1cuillère à soupe rase  de cacao'"", "" '60g  de beurre'"", "" '150g  de sucre'"", "" '1 oeuf'"", ' ""1/2cuillère à café  d\'extrait de vanille""', "" '120ml  de babeurre'"", "" '2cuillère à soupe  de colorant'"", "" '1cuillère à café  de vinaigre'"", "" '1cuillère à café  de bicarbonate'"", "" '150g  de fromage'"", "" '40g  de sucre glace'"", "" '120ml  de crème fleurette']""]",recipe-infos__level__container--level-2,Cupcakes Red Velvet,12 personnes,1h20,Dessert,120,,1
